,choice,dValue,absDValue,sumValue,zConf,zRT,zAbsDValue,zSumValue,rValue,lValue,Part,choValue,unchoValue,zChoValue,zUnchoValue
5150,1,-0.3481553119113958,0.3481553119113958,2.7852424952911656,1.4320293592953863,-0.6703542382994413,-1.2059157678621055,2.0887435424474985,1.2185435916898848,1.5666989036012806,34,1.2185435916898848,1.5666989036012806,1.9131198270175003,1.2490109081139242
5152,0,1.3926212476455828,1.3926212476455828,0.3481553119113957,1.0473050538130428,-0.2658491686350282,0.15073199135461207,0.26141759326173153,0.8703882797784892,-0.5222329678670935,34,-0.5222329678670935,0.8703882797784892,-0.05241424183609593,0.4517699029348237
5153,1,-0.3481553119113956,0.3481553119113956,2.088931871468374,0.27785644284835564,-0.2032353617827972,-1.205915767862106,1.5666504141087076,0.8703882797784892,1.2185435916898848,34,0.8703882797784892,1.2185435916898848,1.520013013246781,0.8503904055243738
5154,0,2.7852424952911656,2.7852424952911656,-0.3481553119113958,-0.10686786263398791,-0.6852622875499725,1.9595956703102357,-0.26067553507705915,1.2185435916898848,-1.5666989036012806,34,-1.5666989036012806,1.2185435916898848,-1.2317346831482539,0.8503904055243738
5155,1,-1.0444659357341872,1.0444659357341872,-2.088931871468374,-0.10686786263398791,-0.5739488531460063,-0.3014839283842937,-1.5659083559240354,-1.5666989036012806,-0.5222329678670935,34,-1.5666989036012806,-0.5222329678670935,-1.2317346831482539,-1.1427121074233775
5156,1,-0.34815531191139565,0.34815531191139565,0.6963106238227914,-0.10686786263398791,-0.3433710247377904,-1.205915767862106,0.5224641574311267,0.17407765595569785,0.5222329678670935,34,0.17407765595569785,0.5222329678670935,0.7337993857053425,0.0531494003452734
5158,1,-1.044465935734187,1.044465935734187,0.6963106238227914,-1.2610407790810185,-0.657433928948981,-0.301483928384294,0.5224641574311267,-0.17407765595569785,0.8703882797784892,34,-0.17407765595569785,0.8703882797784892,0.34069257193462327,0.4517699029348237
5159,1,-2.43708718337977,2.43708718337977,0.6963106238227914,0.27785644284835564,-0.5878630324465021,1.50737975057133,0.5224641574311267,-0.8703882797784892,1.5666989036012806,34,-0.8703882797784892,1.5666989036012806,-0.4455210556068152,1.2490109081139242
5161,0,-0.3481553119113957,0.3481553119113957,0.0,-0.876316473598675,-0.5600346738455105,-1.2059157678621057,0.0003710290923362189,-0.17407765595569785,0.17407765595569785,34,0.17407765595569785,-0.17407765595569785,0.7337993857053425,-0.7440916048338271
5162,1,-1.044465935734187,1.044465935734187,-1.3926212476455826,0.6625807483306992,-0.036265210176847786,-0.301483928384294,-1.0438152275852448,-1.2185435916898848,-0.17407765595569785,34,-1.2185435916898848,-0.17407765595569785,-0.8386278693775344,-0.7440916048338271
5163,1,-1.7407765595569784,1.7407765595569784,1.3926212476455828,0.6625807483306992,-0.20621697163290342,0.6029479110935179,1.0445572857699175,-0.17407765595569785,1.5666989036012806,34,-0.17407765595569785,1.5666989036012806,0.34069257193462327,1.2490109081139242
5164,1,-1.044465935734187,1.044465935734187,-0.6963106238227914,0.27785644284835564,-0.7329680451516724,-0.301483928384294,-0.5217220992464544,-0.8703882797784892,0.17407765595569785,34,-0.8703882797784892,0.17407765595569785,-0.4455210556068152,-0.34547110224427685
5165,1,-3.1333978072025612,3.1333978072025612,0.0,0.6625807483306992,-0.7886247623536555,2.4118115900491417,0.0003710290923362189,-1.5666989036012806,1.5666989036012806,34,-1.5666989036012806,1.5666989036012806,-1.2317346831482539,1.2490109081139242
5166,0,2.088931871468374,2.088931871468374,1.0444659357341872,1.0473050538130428,0.114803022228535,1.0551638308324236,0.7835107216005223,1.5666989036012806,-0.5222329678670935,34,-0.5222329678670935,1.5666989036012806,-0.05241424183609593,1.2490109081139242
5167,0,1.3926212476455828,1.3926212476455828,-1.7407765595569784,-0.876316473598675,-0.14062155493056616,0.15073199135461207,-1.3048617917546401,-0.17407765595569785,-1.5666989036012806,34,-1.5666989036012806,-0.17407765595569785,-1.2317346831482539,-0.7440916048338271
